SIS;TOK;UIN;VOL;WET;KAT;XIN;Class;id
0.125;t;37.75;t;0;ccc;f;y;57
8.665;f;53.92;t;5;ddd;t;y;58
15.0;f;47.67;t;20;ddd;t;y;59
0.835;f;23.25;t;0;ddd;f;y;60
2.585;f;22.67;t;0;ddd;f;y;61
14.415;t;54.58;t;11;ddd;t;y;62
7.415;t;34.25;t;0;ddd;f;y;63
2.0;t;27.58;t;3;ddd;t;y;64
0.0;f;46.0;t;0;ccc;f;y;65
4.0;f;60.92;t;4;ccc;t;y;66
13.875;t;47.42;t;2;ccc;t;y;67
4.25;t;37.33;t;12;ddd;t;y;68
2.5;t;33.25;f;0;ccc;f;n;69
1.75;f;24.58;t;0;ccc;f;n;70
0.085;t;21.83;f;0;ddd;f;n;71
1.0;f;15.17;f;0;ddd;f;n;72
0.165;f;22.92;f;0;ddd;f;n;73
0.0;f;69.5;f;0;ccc;f;n;74
7.0;t;33.0;f;0;ddd;f;n;75
0.0;f;23.0;f;1;ccc;t;n;76
0.29;f;22.0;f;1;ddd;t;n;77
1.0;t;24.75;f;0;ddd;f;n;78
0.29;f;20.75;f;0;ddd;f;n;79
0.5;t;23.0;t;0;ddd;f;n;80
2.0;t;20.67;f;0;ddd;f;n;81
0.0;t;48.75;t;0;ddd;f;n;82
1.5;f;51.83;f;0;ddd;f;n;83
0.415;f;22.75;f;0;ddd;f;n;84
0.0;f;17.92;f;0;ccc;f;n;85
0.0;t;42.25;f;0;;f;n;86
0.25;t;27.67;f;0;ccc;f;n;87
1.5;t;28.75;t;0;ddd;f;n;88
11.5;t;37.75;t;7;ddd;t;n;89
0.5;f;28.75;t;0;ddd;f;n;90
4.5;f;23.5;f;0;ddd;f;n;91
1.0;f;29.5;f;0;ccc;f;n;92
3.04;t;31.92;f;2;ccc;t;n;93
0.165;f;18.83;f;1;ddd;t;n;94
2.5;f;26.75;f;0;ddd;f;n;95
0.0;f;27.17;f;1;ccc;t;n;96
5.5;f;47.17;f;0;ddd;f;n;97
0.04;f;23.75;f;2;ddd;t;n;98
0.21;f;41.58;t;0;ddd;f;n;99
0.0;t;26.33;f;0;ddd;f;n;100
0.165;f;39.42;f;0;ddd;f;n;101
3.75;t;35.25;t;0;ddd;f;n;102
0.0;t;18.83;f;0;ddd;f;n;103
1.625;f;44.83;f;0;ddd;f;n;104
0.0;f;50.75;f;0;ddd;f;n;105
1.0;t;19.17;f;0;ddd;f;n;106
0.5;t;21.5;t;0;ddd;f;n;107
0.0;f;25.58;f;0;ccc;f;y;108
1.585;f;20.42;t;1;ccc;t;y;109
7.375;t;44.17;t;3;ccc;t;y;110
5.375;t;34.75;t;9;ddd;t;y;111
2.5;f;20.5;t;0;ddd;f;y;112
2.25;t;22.67;f;0;ddd;f;y;113
2.165;t;22.08;f;0;ddd;f;y;114
4.58;f;42.83;t;0;ddd;f;y;115
1.0;t;18.92;t;4;ccc;t;y;116
0.165;f;20.67;t;3;ccc;t;y;117
0.04;f;32.33;t;0;ccc;f;y;118
5.335;f;28.92;t;11;ddd;t;y;119
5.5;f;52.83;t;14;ccc;t;y;120
2.085;f;20.67;t;5;ccc;t;y;121
2.5;f;36.25;t;6;ddd;t;y;122
1.0;f;20.33;t;4;ccc;t;y;123
0.25;f;25.75;t;0;ddd;f;y;124
0.585;f;28.17;t;4;ccc;t;y;125
0.165;f;23.92;f;0;ddd;f;y;126
8.0;t;56.0;t;0;ddd;f;y;127
0.71;t;20.75;t;2;ccc;t;y;128
4.0;t;30.5;t;7;ccc;t;y;129
5.0;t;45.83;t;7;ccc;t;y;130
3.5;t;39.0;t;10;ddd;t;y;131
0.665;f;22.08;t;0;ddd;f;y;132
4.75;f;28.25;t;2;ddd;t;y;133
3.0;f;18.83;t;0;ccc;f;y;134
2.5;t;28.67;t;5;ccc;t;y;135
2.46;f;22.5;f;0;ccc;f;y;136
6.5;f;;t;0;ddd;f;y;137
0.0;f;36.08;f;0;ddd;f;n;138
0.5;f;40.83;f;0;;f;n;139
0.125;f;20.0;f;0;ddd;f;n;140
0.21;f;43.25;t;1;ddd;t;n;141
9.46;t;52.33;t;0;ddd;f;n;142
0.585;t;19.33;f;2;ddd;t;n;143
2.625;t;23.58;t;6;ddd;t;n;144
4.0;f;69.17;f;1;ddd;t;n;145
0.0;f;24.92;t;0;ccc;f;n;146
0.125;f;23.58;f;0;ccc;f;n;147
0.5;f;20.0;f;0;ddd;f;n;148
1.25;f;32.0;f;0;ccc;f;n;149
3.0;f;27.83;f;0;ddd;f;n;150
0.25;f;29.83;f;0;ddd;f;n;151
1.5;t;25.67;f;0;ddd;f;n;152
0.0;f;31.25;f;5;ddd;t;n;153
0.085;t;23.08;f;0;ddd;f;n;154
0.085;f;31.0;f;0;ddd;f;n;155
0.0;f;22.17;f;0;ddd;f;n;156
0.085;t;;f;0;ddd;f;n;157
2.5;t;45.17;t;0;ddd;f;n;158
0.0;f;24.58;f;0;ddd;f;n;159
1.165;f;33.67;f;0;ddd;f;n;160
0.0;f;40.58;f;0;ddd;f;n;161
0.415;t;16.33;f;0;ddd;f;n;162
0.125;f;35.75;f;2;ddd;t;n;163
0.0;t;;f;2;ccc;t;n;164
0.0;f;49.58;t;1;ddd;t;n;165
5.5;t;30.25;f;0;ccc;f;n;166
1.165;f;34.67;f;0;ddd;f;n;167
0.5;t;50.25;f;0;ccc;f;n;168
7.0;f;;f;0;ddd;f;n;169
6.5;f;57.58;f;1;ccc;t;n;170
1.0;t;24.83;f;0;ccc;f;n;171
0.085;f;22.25;f;0;ddd;f;n;172
1.25;f;21.08;f;0;ddd;f;n;173
0.0;f;52.17;f;0;ccc;f;n;174
3.0;t;23.58;f;0;ccc;f;n;175
0.25;f;21.5;t;0;ddd;f;n;176
2.54;f;28.5;t;1;ccc;t;y;177
1.5;f;19.17;t;0;ddd;f;y;178
2.5;f;21.5;t;3;ccc;t;y;179
0.0;t;17.5;f;0;ddd;f;y;180
5.25;f;26.67;t;1;ddd;t;y;181
3.25;f;34.42;t;2;ddd;t;y;182
0.0;t;73.42;t;0;ddd;f;y;183
0.5;t;23.0;t;2;ccc;t;y;184
1.085;t;23.08;t;11;ddd;t;y;185
1.46;f;19.42;t;7;ddd;t;y;186
0.835;t;23.33;t;0;ddd;f;y;187
12.75;t;42.17;t;0;ddd;f;y;188
1.5;f;21.25;f;0;ddd;f;y;189
0.085;t;34.17;f;0;ddd;f;y;190
7.875;t;47.75;t;6;ccc;t;y;191
2.5;f;44.33;t;0;ccc;f;y;192
6.5;f;39.5;t;16;ddd;t;y;193
0.5;t;41.17;t;3;ccc;t;y;194
4.335;f;29.92;t;0;ddd;f;y;195
0.0;f;23.17;f;0;ddd;f;y;196
4.5;f;35.17;t;7;ddd;t;y;197
0.75;f;19.17;t;7;ccc;t;y;198
6.29;f;52.5;t;15;ddd;t;y;199
0.04;f;39.92;t;1;ddd;t;y;200
3.0;t;21.33;t;0;ddd;f;y;201
0.75;f;35.75;t;4;ccc;t;y;202
13.0;t;67.75;t;1;ddd;t;y;203
5.25;t;32.67;t;0;ddd;f;y;204
7.585;t;49.5;t;15;ddd;t;y;205
1.085;t;21.0;t;8;ddd;t;y;206
3.0;f;52.5;f;0;ccc;f;n;207
2.0;f;33.25;f;0;ccc;f;n;208
0.0;f;18.33;f;0;ddd;f;n;209
0.29;f;29.5;f;1;ddd;t;n;210
0.125;f;22.17;f;0;ddd;f;n;211
0.085;f;22.92;f;0;ddd;f;n;212
0.04;f;19.42;f;1;ddd;t;n;213
1.25;t;26.17;f;0;ddd;f;n;214
5.085;t;27.58;f;2;ddd;t;n;215
0.085;f;16.0;f;1;ddd;t;n;216
0.25;t;28.58;f;1;ccc;t;n;217
0.0;f;38.75;f;0;ccc;f;n;218
1.5;t;32.08;f;0;ddd;f;n;219
0.25;t;18.25;f;0;ddd;f;n;220
0.0;f;21.75;f;0;ccc;f;n;221
0.54;f;18.58;f;0;ddd;f;n;222
0.5;t;23.0;f;0;ddd;f;n;223
2.0;t;22.67;f;2;ccc;t;n;224
3.5;t;33.17;f;0;;f;n;225
0.125;f;23.0;t;0;ddd;f;n;226
0.125;t;22.25;f;0;ddd;f;n;227
0.04;f;28.17;f;0;;f;n;228
0.0;t;53.33;f;0;ccc;f;n;229
0.0;f;24.5;f;0;ccc;f;n;230
0.375;t;25.92;f;2;ddd;t;n;231
0.665;f;16.33;f;1;ddd;t;n;232
1.0;t;34.0;t;0;ddd;f;n;233
0.29;f;49.17;f;0;ddd;f;n;234
0.875;t;23.5;f;0;ccc;f;n;235
1.665;f;19.58;f;0;ccc;f;n;236
0.5;t;21.17;f;0;ddd;f;n;237
0.125;f;38.33;f;0;ccc;f;n;238
0.04;f;37.5;f;0;ddd;f;n;239
0.0;f;21.08;f;0;ccc;f;n;240
0.75;t;28.0;f;0;ddd;f;n;241
1.25;f;25.17;f;1;ddd;t;n;242
1.75;t;32.92;f;2;ddd;t;n;243
0.165;f;22.75;f;0;ccc;f;n;244
0.96;t;28.25;t;3;ddd;t;y;245
1.54;t;34.17;t;1;ddd;t;y;246
6.04;f;31.92;t;3;ddd;t;y;247
0.54;f;29.5;t;4;ccc;t;y;248
0.085;f;23.17;t;0;ddd;f;y;249
10.0;t;18.08;f;0;ccc;f;y;250
1.835;f;24.75;t;19;ccc;t;y;251
0.04;f;20.83;t;0;ccc;f;y;252
4.165;t;28.0;t;2;ddd;t;y;253
2.25;f;20.42;t;1;ddd;t;y;254
5.665;f;28.67;t;6;ddd;t;y;255
0.04;t;21.92;t;1;ddd;t;y;256
6.0;f;43.25;t;11;ddd;t;y;257
1.625;f;20.42;t;3;ddd;t;y;258
5.125;f;42.0;t;0;ddd;f;y;259
1.5;t;23.42;t;2;ccc;t;y;260
0.875;f;25.17;t;0;ccc;f;y;261
2.25;f;24.83;t;6;ddd;t;y;262
4.75;f;24.5;t;2;;t;y;263
1.5;t;37.5;f;0;ddd;f;y;264
1.5;t;36.75;f;0;ddd;f;y;265
1.5;t;28.25;t;8;ddd;t;y;266
5.5;t;32.75;t;3;ddd;t;y;267
1.0;f;17.83;t;11;ccc;t;y;268
2.29;t;22.83;t;7;ccc;t;y;269
1.75;t;13.75;t;2;ddd;t;y;270
0.125;t;41.0;t;23;ccc;t;y;271
2.125;t;23.08;t;11;ddd;t;y;272
1.71;f;20.17;t;0;ddd;f;y;273
2.29;t;50.08;t;3;ccc;t;y;274
4.25;t;27.0;t;3;ddd;t;y;275
0.25;t;29.75;f;0;;f;n;276
0.5;f;25.25;f;0;ddd;f;n;277
10.0;t;39.17;f;0;ddd;f;n;278
0.125;f;20.08;f;0;ddd;f;n;279
10.75;f;44.25;t;0;ddd;f;n;280
2.0;f;27.67;t;0;ccc;f;n;281
0.5;t;26.92;f;0;ddd;f;n;282
0.0;f;27.33;f;0;ccc;f;n;283
0.085;f;16.25;t;0;ddd;f;n;284
1.5;f;33.67;f;0;ddd;f;n;285
3.0;t;22.5;t;0;ccc;f;n;286
0.165;t;37.33;f;0;ddd;f;n;287
0.5;f;29.25;f;0;ddd;f;n;288
8.29;t;35.0;f;0;ddd;f;n;289
0.165;f;22.67;f;0;ccc;f;n;290
0.5;f;34.75;f;0;ddd;f;n;291
0.375;f;20.67;t;1;ddd;t;n;292
1.585;t;22.08;f;0;ddd;f;n;293
0.04;f;20.75;f;0;ccc;f;n;294
10.0;t;40.92;t;0;ddd;f;n;295
0.085;f;23.42;t;0;ddd;f;n;296
2.415;t;28.58;t;0;ccc;f;n;297
0.125;t;15.83;f;1;ccc;t;n;298
0.415;f;18.58;f;0;ccc;f;n;299
0.0;f;36.58;f;10;ccc;t;n;300
0.125;t;45.33;f;0;;f;n;301
0.04;f;29.83;f;0;ddd;f;n;302
0.165;f;29.83;f;0;ddd;f;n;303
3.5;f;36.5;f;0;ddd;f;n;304
3.25;f;22.25;f;0;ccc;f;n;305
0.125;f;22.5;f;0;ddd;f;n;306
0.165;t;27.67;f;0;ddd;f;n;307
0.0;f;40.92;t;0;ddd;f;n;308
5.0;f;62.5;t;0;ddd;f;n;309
1.25;t;29.58;f;0;ccc;f;n;310
0.415;f;18.58;f;0;ddd;f;n;311
0.0;f;39.58;f;2;ddd;t;n;312
0.875;t;24.58;t;0;ddd;f;n;313
2.5;f;38.17;t;6;ddd;t;y;314
0.375;t;27.0;t;0;ddd;f;y;315
7.0;f;41.17;t;8;ddd;t;y;316
0.0;t;65.17;t;11;ccc;t;y;317
0.0;f;37.58;f;0;ddd;f;y;318
2.375;t;23.25;t;3;ddd;t;y;319
0.29;f;21.83;t;6;ddd;t;y;320
1.75;t;26.0;t;0;ddd;f;y;321
1.335;t;31.67;t;8;ddd;t;y;322
8.5;t;49.83;t;0;ccc;f;y;323
6.5;f;47.42;t;6;ccc;t;y;324
0.0;f;51.33;t;11;ddd;t;y;325
0.75;f;18.92;t;2;ccc;t;y;326
0.835;f;28.42;t;0;ccc;f;y;327
1.25;t;56.75;t;4;ddd;t;y;328
10.0;f;58.42;t;13;ccc;t;y;329
16.0;f;48.33;t;0;ddd;f;y;330
0.75;t;33.17;t;7;ddd;t;y;331
2.585;f;22.42;t;7;ccc;t;y;332
0.085;f;18.83;t;0;ccc;f;y;333
0.25;f;48.58;t;11;ddd;t;y;334
1.25;f;26.75;t;0;ddd;f;y;335
17.5;t;64.08;t;9;ddd;t;y;336
1.665;t;20.17;t;3;ddd;t;y;337
1.21;t;25.67;t;67;ddd;t;y;338
1.335;f;22.67;t;0;ddd;f;y;339
7.0;f;31.33;t;16;ddd;t;y;340
28.5;f;56.42;t;40;ddd;t;y;341
1.5;t;24.75;t;12;ccc;t;y;342
1.25;f;24.08;t;1;ccc;t;y;343
11.0;t;28.33;t;0;ddd;f;y;344
0.04;t;19.5;f;0;ccc;f;n;345
0.125;t;34.08;t;0;ddd;f;n;346
3.75;t;52.42;f;0;ddd;f;n;347
0.25;t;37.5;t;0;ddd;f;n;348
0.75;t;21.42;f;0;ddd;f;n;349
1.0;f;20.83;f;0;ccc;f;n;350
0.04;f;31.83;f;0;ddd;f;n;351
13.875;t;42.83;f;1;ddd;t;n;352
0.0;f;32.25;f;2;ddd;t;n;353
0.5;t;40.92;f;0;ddd;f;n;354
2.0;t;25.25;f;1;ccc;t;n;355
0.085;t;23.58;f;0;ddd;f;n;356
0.375;f;38.42;f;2;ddd;t;n;357
0.415;t;23.58;f;1;ccc;t;n;358
0.5;f;20.0;f;0;ddd;f;n;359
0.0;f;20.08;f;0;ccc;f;n;360
0.085;f;24.08;f;4;ddd;t;n;361
0.25;f;;f;0;ddd;f;n;362
0.165;f;24.42;f;2;ddd;t;n;363
1.0;f;23.08;f;11;ddd;t;n;364
0.0;f;19.0;f;4;ddd;t;n;365
1.0;f;34.08;f;0;ddd;f;n;366
0.5;t;30.08;t;10;ddd;t;n;367
5.75;t;27.83;t;2;ddd;t;n;368
1.0;t;47.33;f;0;ddd;f;n;369
1.375;t;20.67;t;3;ddd;t;n;370
1.29;f;25.42;t;2;ccc;t;n;371
0.125;f;28.67;f;0;ddd;f;n;372
0.665;f;41.58;f;0;ccc;f;n;373
0.165;f;20.83;f;0;ccc;f;n;374
1.0;f;42.75;t;0;ddd;f;n;375
4.0;t;33.58;f;0;ddd;f;n;376
1.5;f;20.42;f;0;ddd;f;n;377
1.5;t;22.5;f;0;ddd;f;n;378
0.5;t;38.92;f;0;ddd;f;n;379
0.0;f;26.83;f;0;ddd;f;n;380
0.04;f;17.92;f;0;ddd;f;n;381
0.165;f;25.42;f;1;ddd;t;n;382
5.0;f;26.92;t;2;ccc;t;y;383
5.75;t;27.67;t;0;ddd;f;y;384
0.085;t;38.67;t;0;ddd;f;y;385
1.085;f;32.17;t;16;ccc;t;y;386
5.5;t;32.67;t;12;ddd;t;y;387
12.5;f;48.75;t;9;ddd;t;y;388
2.25;t;21.0;t;1;ddd;t;y;389
15.5;f;48.17;t;12;ddd;t;y;390
10.0;t;39.33;t;14;ddd;t;y;391
0.25;t;25.08;t;0;ccc;f;y;392
0.25;t;23.25;t;0;ddd;f;y;393
2.0;f;30.67;t;1;ccc;t;y;394
0.0;t;19.17;f;0;ddd;f;y;395
1.0;f;20.08;f;1;;t;y;396
9.0;t;36.67;t;0;ddd;f;y;397
0.46;f;23.17;t;1;ddd;t;y;398
1.5;f;15.83;t;2;ccc;t;y;399
1.75;t;16.08;t;5;ddd;t;y;400
5.165;t;47.0;t;9;ccc;t;y;401
0.0;f;71.58;f;0;ccc;f;y;402
0.5;f;21.25;t;4;ccc;t;y;403
20.0;t;65.42;t;7;ddd;t;y;404
2.0;t;20.5;t;11;ddd;t;y;405
5.0;f;55.92;t;5;ddd;t;y;406
0.0;t;34.92;t;0;ddd;f;y;407
15.0;t;56.58;t;17;ddd;t;y;408
1.0;f;25.17;t;3;ddd;t;y;409
1.665;t;25.08;t;1;ddd;t;y;410
14.0;t;57.83;t;6;ddd;t;y;411
7.5;t;34.92;t;6;ddd;t;y;412
4.25;f;33.58;t;6;ddd;t;y;413
0.0;f;35.17;f;6;ccc;t;n;414
0.165;t;32.42;f;0;ddd;f;n;415
0.25;t;34.25;t;0;ddd;f;n;416
0.0;f;17.67;f;0;ccc;f;n;417
0.125;f;21.92;f;0;ddd;f;n;418
0.0;f;;f;0;ccc;f;n;419
0.29;f;19.5;f;0;ddd;f;n;420
2.0;f;29.5;f;0;;f;n;421
0.25;f;41.17;f;0;ddd;f;n;422
0.21;f;37.33;f;0;ccc;f;n;423
0.04;f;18.08;f;0;ddd;f;n;424
1.25;t;32.33;f;0;ddd;f;n;425
0.25;t;23.75;f;1;ccc;t;n;426
0.415;t;23.5;f;1;ddd;t;n;427
0.25;f;21.17;f;0;ddd;f;n;428
0.085;f;36.17;f;0;ddd;f;n;429
0.125;t;27.25;f;1;ccc;t;n;430
0.375;f;18.67;t;2;ddd;t;n;431
0.165;t;22.0;f;0;ddd;f;n;432
0.585;t;30.75;f;0;ddd;f;n;433
0.125;t;30.58;f;0;ddd;f;n;434
2.25;t;43.17;f;0;ddd;f;n;435
3.5;t;29.17;t;3;ddd;t;n;436
0.835;t;19.67;t;0;ddd;f;n;437
0.0;f;36.75;f;0;ccc;f;n;438
0.25;t;29.42;f;2;ddd;t;n;439
0.04;f;42.75;f;0;ddd;f;n;440
0.5;f;25.83;f;0;ddd;f;n;441
2.085;f;23.75;f;0;ddd;f;n;442
0.0;t;26.58;f;0;ccc;f;n;443
0.125;f;20.67;f;0;ddd;f;n;444
0.085;t;30.33;f;0;ddd;f;n;445
0.04;f;21.08;f;0;ddd;f;n;446
0.335;t;17.08;f;0;ddd;f;n;447
0.125;f;26.25;f;0;ddd;f;n;448
0.04;f;30.17;f;0;ddd;f;n;449
1.0;t;57.08;t;0;ccc;f;n;450
0.21;f;39.92;f;0;ddd;f;n;451
0.04;f;22.92;t;0;ccc;f;y;452
1.5;f;24.5;t;0;ccc;f;y;453
0.0;f;20.25;t;0;ddd;f;y;454
1.5;f;18.5;t;2;ddd;t;y;455
0.625;f;25.17;t;7;ddd;t;y;456
5.0;t;44.33;t;0;ddd;f;y;457
0.5;f;18.08;t;0;ddd;f;y;458
11.0;t;60.58;t;0;ccc;f;y;459
3.5;f;41.5;f;0;ddd;f;y;460
0.875;t;25.75;t;0;ccc;f;y;461
5.04;t;29.25;t;5;ddd;t;y;462
2.0;f;36.0;t;11;ccc;t;y;463
3.0;f;31.67;t;9;ddd;t;y;464
18.0;t;60.08;t;15;ddd;t;y;465
2.0;f;22.33;t;1;ddd;t;y;466
3.5;f;40.0;t;1;ddd;t;y;467
1.625;t;35.17;t;1;ddd;t;y;468
15.0;f;41.33;t;0;ddd;f;y;469
0.335;t;20.75;t;1;ccc;t;y;470
2.5;t;32.08;t;0;ddd;f;y;471
5.0;t;;t;3;ddd;t;y;472
1.875;f;23.92;t;6;ddd;t;y;473
3.17;f;23.25;t;10;ccc;t;y;474
0.415;t;46.67;t;11;ccc;t;y;475
3.5;f;25.0;t;6;ccc;t;y;476
0.25;f;25.5;t;3;ddd;t;y;477
2.71;f;18.75;t;5;ccc;t;y;478
8.5;t;23.5;t;5;ccc;t;y;479
4.5;t;34.17;t;12;ddd;t;y;480
3.75;t;27.83;t;5;ddd;t;y;481
5.0;t;36.75;t;0;ccc;f;y;482
2.0;t;20.0;f;0;ddd;f;n;483
0.75;f;22.67;f;0;ccc;f;n;484
0.54;f;80.25;t;0;ddd;f;n;485
3.0;f;34.83;f;0;ddd;f;n;486
6.75;t;55.75;t;3;ccc;t;n;487
3.335;t;22.17;f;2;ddd;t;n;488
0.0;f;62.75;f;0;ddd;f;n;489
2.75;f;47.25;t;1;ccc;t;y;490
0.375;f;33.67;f;0;ccc;f;y;491
14.0;t;45.0;t;1;ddd;t;y;492
6.5;t;33.17;t;0;ddd;f;y;493
1.04;t;25.0;t;0;ccc;f;y;494
1.0;t;26.67;t;5;ddd;t;y;495
0.125;t;48.5;t;0;ddd;f;y;496
0.04;t;37.42;t;0;ddd;f;y;497
0.21;f;18.0;f;0;ddd;f;y;498
0.0;f;56.5;t;15;ccc;t;y;499
1.46;t;25.75;t;5;ddd;t;y;500
0.415;t;22.58;t;5;ccc;t;y;501
2.04;t;33.17;t;1;ddd;t;y;502
0.04;t;32.0;t;0;ddd;f;y;503
1.75;f;40.83;t;0;ccc;f;y;504
0.125;t;59.67;t;0;ddd;f;y;505
3.165;t;42.5;t;0;ddd;f;y;506
0.0;f;28.08;t;0;ccc;f;y;507
0.125;t;37.75;t;0;ccc;f;y;508
8.665;f;53.92;t;5;ddd;t;y;509
15.0;f;47.67;t;20;ddd;t;y;510
0.835;f;23.25;t;0;ddd;f;y;511
2.585;f;22.67;t;0;ddd;f;y;512
14.415;t;54.58;t;11;ddd;t;y;513
7.415;t;34.25;t;0;ddd;f;y;514
2.0;t;27.58;t;3;ddd;t;y;515
0.0;f;46.0;t;0;ccc;f;y;516
4.0;f;60.92;t;4;ccc;t;y;517
13.875;t;47.42;t;2;ccc;t;y;518
4.25;t;37.33;t;12;ddd;t;y;519
0.0;f;25.58;f;0;ccc;f;y;520
1.585;f;20.42;t;1;ccc;t;y;521
7.375;t;44.17;t;3;ccc;t;y;522
5.375;t;34.75;t;9;ddd;t;y;523
2.5;f;20.5;t;0;ddd;f;y;524
2.25;t;22.67;f;0;ddd;f;y;525
2.165;t;22.08;f;0;ddd;f;y;526
4.58;f;42.83;t;0;ddd;f;y;527
1.0;t;18.92;t;4;ccc;t;y;528
0.165;f;20.67;t;3;ccc;t;y;529
0.04;f;32.33;t;0;ccc;f;y;530
5.335;f;28.92;t;11;ddd;t;y;531
5.5;f;52.83;t;14;ccc;t;y;532
2.085;f;20.67;t;5;ccc;t;y;533
2.5;f;36.25;t;6;ddd;t;y;534
1.0;f;20.33;t;4;ccc;t;y;535
0.25;f;25.75;t;0;ddd;f;y;536
0.585;f;28.17;t;4;ccc;t;y;537
0.165;f;23.92;f;0;ddd;f;y;538
8.0;t;56.0;t;0;ddd;f;y;539
0.71;t;20.75;t;2;ccc;t;y;540
4.0;t;30.5;t;7;ccc;t;y;541
5.0;t;45.83;t;7;ccc;t;y;542
3.5;t;39.0;t;10;ddd;t;y;543
0.665;f;22.08;t;0;ddd;f;y;544
4.75;f;28.25;t;2;ddd;t;y;545
3.0;f;18.83;t;0;ccc;f;y;546
2.5;t;28.67;t;5;ccc;t;y;547
2.46;f;22.5;f;0;ccc;f;y;548
6.5;f;;t;0;ddd;f;y;549
2.54;f;28.5;t;1;ccc;t;y;550
1.5;f;19.17;t;0;ddd;f;y;551
2.5;f;21.5;t;3;ccc;t;y;552
0.0;t;17.5;f;0;ddd;f;y;553
5.25;f;26.67;t;1;ddd;t;y;554
3.25;f;34.42;t;2;ddd;t;y;555
0.0;t;73.42;t;0;ddd;f;y;556
0.5;t;23.0;t;2;ccc;t;y;557
1.085;t;23.08;t;11;ddd;t;y;558
1.46;f;19.42;t;7;ddd;t;y;559
0.835;t;23.33;t;0;ddd;f;y;560
12.75;t;42.17;t;0;ddd;f;y;561
1.5;f;21.25;f;0;ddd;f;y;562
0.085;t;34.17;f;0;ddd;f;y;563
7.875;t;47.75;t;6;ccc;t;y;564
2.5;f;44.33;t;0;ccc;f;y;565
6.5;f;39.5;t;16;ddd;t;y;566
0.5;t;41.17;t;3;ccc;t;y;567
4.335;f;29.92;t;0;ddd;f;y;568
0.0;f;23.17;f;0;ddd;f;y;569
4.5;f;35.17;t;7;ddd;t;y;570
0.75;f;19.17;t;7;ccc;t;y;571
6.29;f;52.5;t;15;ddd;t;y;572
0.04;f;39.92;t;1;ddd;t;y;573
3.0;t;21.33;t;0;ddd;f;y;574
0.75;f;35.75;t;4;ccc;t;y;575
13.0;t;67.75;t;1;ddd;t;y;576
5.25;t;32.67;t;0;ddd;f;y;577
7.585;t;49.5;t;15;ddd;t;y;578
1.085;t;21.0;t;8;ddd;t;y;579
0.96;t;28.25;t;3;ddd;t;y;580
1.54;t;34.17;t;1;ddd;t;y;581
6.04;f;31.92;t;3;ddd;t;y;582
