BIB;COD;ERG;FAN;GJAH;LUK;MYR;NUS;PKD;RAS;id
8;iii;www;92.0;iii;300.0;hh;920000.0;hh;t;96
64;iii;www;465.0;iii;150.0;yyy;4650000.0;xxx;f;97
156;iii;aaa;128.0;rrr;6.0;eee;1280000.0;xxx;;98
17;iii;www;160.0;iii;0.0;mmm;1600000.0;xxx;;99
118;iii;www;140.0;iii;1110.0;ggg;1400000.0;ff;f;100
16;uuu;aaa;400.0;rrr;0.0;ooo;4000000.0;xxx;;101
36;iii;www;680.0;iii;0.0;zzz;6800000.0;jjj;f;102
41;iii;aaa;180.0;rrr;1.0;hh;1800000.0;hh;f;103
173;iii;aaa;160.0;rrr;2.0;eee;1600000.0;xxx;;104
161;iii;www;145.0;iii;0.0;hh;1450000.0;hh;f;105
158;iii;aaa;360.0;rrr;1000.0;kkk;3600000.0;xxx;f;106
106;iii;www;100.0;iii;68.0;kkk;1000000.0;xxx;f;107
1;rrr;;;;0.0;;;;;108
174;iii;www;0.0;iii;0.0;sss;0.0;xxx;t;109
69;iii;www;0.0;iii;0.0;sss;0.0;xxx;t;110
127;iii;www;0.0;iii;134.0;ttt;0.0;ppp;;111
91;uuu;aaa;40.0;rrr;0.0;eee;400000.0;xxx;;112
145;uuu;www;0.0;iii;0.0;eee;0.0;lll;;113
175;iii;www;128.0;iii;0.0;eee;1280000.0;jjj;;114
51;uuu;www;0.0;iii;0.0;sss;0.0;xxx;;115
83;iii;aaa;80.0;rrr;500.0;eee;800000.0;xxx;t;116
155;iii;www;100.0;iii;6.0;sss;1000000.0;xxx;;117
160;iii;www;440.0;iii;11177.0;ee;4400000.0;xxx;f;118
127;iii;www;0.0;iii;2283.0;eee;0.0;jjj;;119
127;iii;www;0.0;iii;2200.0;eee;0.0;xxx;;120
18;iii;www;220.0;iii;2503.0;sss;2200000.0;xxx;;121
163;iii;www;0.0;iii;367.0;eee;0.0;ff;;122
91;iii;www;50.0;iii;1465.0;eee;500000.0;jjj;;123
171;iii;www;349.0;iii;23.0;eee;3490000.0;ff;f;124
154;iii;www;80.0;iii;0.0;sss;800000.0;xxx;t;125
166;iii;www;100.0;iii;0.0;eee;1000000.0;xxx;;126
114;iii;www;24.0;iii;2028.0;mmm;240000.0;jjj;;127
95;iii;www;49.0;iii;0.0;sss;490000.0;xxx;t;128
68;iii;www;0.0;iii;3065.0;eee;0.0;ff;t;129
98;iii;www;0.0;iii;0.0;sss;0.0;xxx;t;130
163;iii;www;0.0;iii;0.0;ee;0.0;xxx;t;131
101;iii;www;100.0;iii;0.0;ee;1000000.0;xxx;;132
57;iii;www;420.0;iii;7.0;zzz;4200000.0;xxx;;133
47;iii;aaa;240.0;rrr;0.0;eee;2400000.0;jjj;f;134
2;iii;www;300.0;iii;1430.0;eee;3000000.0;xxx;;135
79;iii;aaa;164.0;rrr;0.0;zzz;1640000.0;xxx;f;136
98;iii;www;0.0;iii;0.0;zzz;0.0;xxx;f;137
28;iii;www;0.0;iii;1000.0;hh;0.0;hh;;138
40;uuu;www;1160.0;iii;0.0;kkk;11600000.0;ff;f;139
8;iii;aaa;140.0;rrr;4.0;mmm;1400000.0;xxx;;140
141;iii;www;760.0;iii;90.0;sss;7600000.0;jjj;;141
10;iii;aaa;200.0;rrr;100.0;eee;2000000.0;jjj;;142
100;iii;www;200.0;iii;7.0;eee;2000000.0;ff;;143
157;iii;aaa;208.0;rrr;347.0;yyy;2080000.0;xxx;t;144
179;iii;www;70.0;iii;6.0;hh;700000.0;hh;;145
8;iii;www;80.0;iii;0.0;hh;800000.0;hh;f;146
161;iii;aaa;120.0;rrr;87.0;hh;1200000.0;hh;f;147
1;iii;www;144.0;iii;0.0;fff;1440000.0;xxx;;148
168;iii;www;272.0;iii;0.0;fff;2720000.0;xxx;;149
147;iii;aaa;176.0;rrr;537.0;fff;1760000.0;jjj;;150
8;iii;aaa;224.0;rrr;0.0;mmm;2240000.0;xxx;f;151
151;iii;aaa;160.0;rrr;0.0;eee;1600000.0;xxx;f;152
32;iii;www;176.0;iii;146.0;hh;1760000.0;hh;;153
27;iii;www;100.0;iii;4208.0;hh;1000000.0;hh;;154
20;iii;www;300.0;iii;0.0;eee;3000000.0;xxx;;155
161;iii;aaa;100.0;rrr;0.0;hh;1000000.0;hh;;156
158;iii;aaa;411.0;rrr;0.0;kkk;4110000.0;xxx;f;157
12;iii;www;140.0;iii;0.0;eee;1400000.0;xxx;;158
119;iii;aaa;;rrr;0.0;hh;;hh;f;159
8;iii;www;120.0;iii;0.0;yyy;1200000.0;xxx;;160
12;uuu;www;300.0;iii;0.0;kkk;3000000.0;ff;;161
44;iii;www;120.0;iii;0.0;kkk;1200000.0;jjj;;162
26;iii;www;220.0;iii;1.0;yyy;2200000.0;xxx;t;163
12;iii;www;200.0;iii;105.0;hh;2000000.0;hh;;164
135;iii;www;94.0;iii;0.0;hh;940000.0;hh;;165
60;uuu;www;100.0;iii;0.0;mmm;1000000.0;xxx;;166
3;uuu;www;28.0;iii;0.0;ooo;280000.0;xxx;f;167
174;iii;www;240.0;iii;117.0;ee;2400000.0;xxx;f;168
155;iii;aaa;0.0;rrr;1.0;kkk;0.0;ff;f;169
152;iii;www;0.0;iii;10.0;hh;0.0;hh;t;170
49;iii;www;360.0;iii;6.0;yyy;3600000.0;xxx;f;171
179;iii;www;0.0;iii;0.0;ee;0.0;xxx;f;172
92;iii;aaa;260.0;rrr;0.0;ggg;2600000.0;jjj;;173
1;iii;aaa;0.0;rrr;0.0;hh;0.0;hh;;174
106;iii;aaa;20.0;rrr;16.0;mmm;200000.0;jjj;f;175
89;iii;www;140.0;iii;0.0;eee;1400000.0;xxx;;176
34;iii;aaa;70.0;rrr;0.0;zzz;700000.0;jjj;;177
86;iii;www;120.0;iii;2206.0;yyy;1200000.0;xxx;;178
168;iii;www;80.0;iii;918.0;ee;800000.0;xxx;t;179
139;rrr;nnn;450.0;ii;100000.0;hh;4500000.0;qqq;f;180
30;iii;aaa;211.0;rrr;0.0;ee;2110000.0;xxx;;181
46;iii;www;274.0;iii;610.0;kkk;2740000.0;ff;t;182
132;iii;www;0.0;iii;0.0;hh;0.0;hh;f;183
109;iii;www;300.0;iii;551.0;zzz;3000000.0;jjj;;184
27;iii;www;60.0;iii;2184.0;eee;600000.0;xxx;;185
68;iii;www;80.0;iii;2954.0;yyy;800000.0;jjj;t;186
108;iii;aaa;160.0;rrr;300.0;yyy;1600000.0;xxx;;187
55;iii;www;92.0;iii;0.0;sss;920000.0;jjj;;188
12;iii;www;150.0;iii;8.0;yyy;1500000.0;xxx;;189
58;iii;www;290.0;iii;6.0;yyy;2900000.0;xxx;;190
177;iii;www;0.0;iii;1260.0;eee;0.0;xxx;t;191
1;iii;www;0.0;iii;0.0;eee;0.0;xxx;;192
46;iii;www;117.0;iii;1210.0;eee;1170000.0;ff;t;193
68;iii;www;145.0;iii;0.0;sss;1450000.0;xxx;;194
18;iii;www;260.0;iii;200.0;eee;2600000.0;jjj;f;195
1;rrr;;;;0.0;;;;f;196
27;iii;www;150.0;iii;1270.0;mmm;1500000.0;xxx;t;197
81;iii;www;96.0;iii;0.0;ee;960000.0;jjj;;198
68;iii;www;0.0;iii;11202.0;mmm;0.0;xxx;t;199
67;iii;www;200.0;iii;300.0;sss;2000000.0;xxx;t;200
98;iii;www;0.0;iii;0.0;eee;0.0;xxx;;201
178;iii;www;0.0;iii;1583.0;ee;0.0;xxx;t;202
60;iii;www;0.0;iii;0.0;ggg;0.0;bbb;t;203
179;iii;aaa;154.0;rrr;0.0;yyy;1540000.0;jjj;f;204
75;iii;www;0.0;iii;5000.0;kkk;0.0;ff;t;205
155;iii;aaa;160.0;rrr;1.0;fff;1600000.0;xxx;t;206
173;iii;www;0.0;iii;0.0;ee;0.0;jjj;f;207
155;iii;aaa;180.0;rrr;0.0;ee;1800000.0;xxx;;208
7;iii;aaa;100.0;rrr;0.0;ggg;1000000.0;ff;f;209
162;iii;www;340.0;iii;2803.0;yyy;3400000.0;xxx;t;210
23;iii;www;160.0;iii;10.0;kkk;1600000.0;xxx;;211
146;uuu;www;0.0;iii;0.0;ooo;0.0;xxx;f;212
73;iii;www;100.0;iii;1.0;ooo;1000000.0;xxx;;213
114;iii;aaa;0.0;rrr;17.0;mmm;0.0;jjj;;214
37;iii;aaa;369.0;rrr;1.0;sss;3690000.0;jjj;t;215
35;iii;www;0.0;iii;6.0;yyy;0.0;xxx;;216
42;iii;www;40.0;iii;154.0;eee;400000.0;xxx;;217
12;iii;www;76.0;iii;0.0;hh;760000.0;hh;;218
158;iii;aaa;120.0;rrr;0.0;ee;1200000.0;xxx;f;219
145;uuu;www;280.0;iii;0.0;fff;2800000.0;xxx;;220
17;iii;aaa;160.0;rrr;0.0;lll;1600000.0;lll;;221
63;iii;www;120.0;iii;0.0;fff;1200000.0;xxx;f;222
171;uuu;www;320.0;iii;0.0;ooo;3200000.0;xxx;f;223
171;iii;www;200.0;iii;394.0;eee;2000000.0;xxx;;224
23;iii;aaa;200.0;rrr;141.0;ee;2000000.0;xxx;f;225
165;iii;aaa;180.0;rrr;1.0;ee;1800000.0;xxx;;226
157;iii;www;280.0;iii;55.0;mmm;2800000.0;xxx;;227
161;iii;www;260.0;iii;1004.0;ee;2600000.0;xxx;f;228
145;uuu;www;62.0;iii;27.0;hh;620000.0;hh;f;229
26;iii;aaa;120.0;rrr;0.0;eee;1200000.0;xxx;f;230
176;iii;www;174.0;iii;3.0;mmm;1740000.0;xxx;t;231
31;iii;www;80.0;iii;21.0;ee;800000.0;xxx;t;232
49;iii;www;240.0;iii;0.0;ee;2400000.0;xxx;;233
24;iii;www;200.0;iii;3.0;hh;2000000.0;hh;;234
12;iii;www;160.0;iii;0.0;yyy;1600000.0;xxx;f;235
166;iii;www;220.0;iii;5.0;yyy;2200000.0;xxx;;236
1;uuu;www;0.0;iii;0.0;eee;0.0;xxx;f;237
47;iii;www;160.0;iii;0.0;eee;1600000.0;xxx;f;238
174;iii;www;120.0;iii;5.0;ggg;1200000.0;xxx;;239
163;iii;aaa;0.0;rrr;0.0;hh;0.0;hh;;240
155;iii;www;300.0;iii;67.0;yyy;3000000.0;xxx;;241
155;iii;www;0.0;iii;22.0;eee;0.0;xxx;;242
27;iii;www;720.0;iii;0.0;ee;7200000.0;xxx;t;243
66;iii;www;220.0;iii;1000.0;ee;2200000.0;xxx;;244
176;iii;www;396.0;iii;0.0;ooo;3960000.0;xxx;t;245
13;iii;www;520.0;iii;50000.0;ee;5200000.0;xxx;;246
48;iii;www;311.0;iii;300.0;ee;3110000.0;jjj;;247
157;iii;www;380.0;iii;500.0;mmm;3800000.0;xxx;;248
1;iii;www;0.0;iii;0.0;ee;0.0;xxx;f;249
154;uuu;nnn;300.0;ii;0.0;ee;3000000.0;hh;f;250
155;iii;www;0.0;iii;500.0;sss;0.0;jjj;;251
155;iii;www;100.0;iii;0.0;ee;1000000.0;xxx;f;252
152;iii;www;181.0;iii;0.0;mmm;1810000.0;jjj;;253
18;iii;www;100.0;iii;150.0;eee;1000000.0;xxx;;254
84;iii;www;381.0;iii;168.0;sss;3810000.0;jjj;t;255
160;iii;aaa;840.0;rrr;59.0;zzz;8400000.0;xxx;t;256
155;iii;www;80.0;iii;0.0;sss;800000.0;jjj;;257
173;iii;www;200.0;iii;1391.0;eee;2000000.0;xxx;;258
148;iii;www;400.0;iii;0.0;kkk;4000000.0;jjj;;259
172;iii;aaa;80.0;rrr;400.0;sss;800000.0;xxx;;260
33;iii;www;360.0;iii;0.0;zzz;3600000.0;jjj;;261
31;iii;www;;iii;600.0;eee;;xxx;;262
116;iii;www;73.0;iii;444.0;eee;730000.0;ff;;263
5;iii;aaa;431.0;rrr;0.0;fff;4310000.0;xxx;;264
144;iii;aaa;232.0;rrr;113.0;eee;2320000.0;xxx;f;265
55;iii;aaa;144.0;rrr;7.0;eee;1440000.0;ff;t;266
12;iii;www;0.0;iii;0.0;ee;0.0;jjj;t;267
101;iii;www;0.0;iii;3000.0;zzz;0.0;jjj;;268
24;iii;www;140.0;iii;2384.0;sss;1400000.0;jjj;t;269
158;iii;aaa;120.0;rrr;1000.0;yyy;1200000.0;xxx;;270
19;iii;aaa;455.0;rrr;1236.0;sss;4550000.0;jjj;;271
106;iii;www;290.0;iii;284.0;yyy;2900000.0;jjj;;272
61;uuu;www;120.0;iii;0.0;yyy;1200000.0;xxx;;273
115;iii;www;156.0;iii;0.0;ee;1560000.0;xxx;;274
171;iii;www;312.0;iii;150.0;eee;3120000.0;jjj;t;275
166;iii;www;300.0;iii;0.0;yyy;3000000.0;xxx;f;276
147;iii;www;200.0;iii;0.0;ee;2000000.0;xxx;;277
27;uuu;aaa;200.0;rrr;0.0;kkk;2000000.0;jjj;;278
150;iii;www;200.0;iii;0.0;sss;2000000.0;xxx;f;279
164;uuu;www;400.0;iii;0.0;ooo;4000000.0;xxx;f;280
12;uuu;www;368.0;iii;0.0;ooo;3680000.0;xxx;;281
23;iii;www;640.0;iii;4000.0;kkk;6400000.0;ff;;282
15;iii;www;340.0;iii;1.0;hh;3400000.0;hh;;283
174;uuu;www;200.0;iii;0.0;ooo;2000000.0;xxx;;284
21;rrr;www;120.0;iii;0.0;eee;1200000.0;xxx;;285
101;iii;aaa;268.0;rrr;0.0;sss;2680000.0;xxx;;286
29;iii;www;0.0;iii;501.0;ee;0.0;xxx;;287
118;iii;www;228.0;iii;0.0;fff;2280000.0;jjj;;288
39;iii;www;0.0;iii;0.0;eee;0.0;jjj;f;289
173;iii;www;160.0;iii;0.0;eee;1600000.0;xxx;f;290
27;iii;www;348.0;iii;0.0;ee;3480000.0;ff;f;291
59;iii;www;160.0;iii;0.0;sss;1600000.0;xxx;t;292
105;iii;www;100.0;iii;1212.0;mmm;1000000.0;xxx;;293
87;iii;www;200.0;iii;1000.0;kkk;2000000.0;xxx;;294
23;iii;aaa;176.0;rrr;0.0;zzz;1760000.0;jjj;;295
161;iii;www;180.0;iii;0.0;eee;1800000.0;jjj;f;296
15;iii;www;440.0;iii;0.0;sss;4400000.0;xxx;;297
76;iii;www;0.0;iii;160.0;sss;0.0;xxx;t;298
91;iii;www;80.0;iii;42.0;fff;800000.0;xxx;f;299
151;iii;www;200.0;iii;18.0;hh;2000000.0;hh;t;300
147;iii;www;263.0;iii;0.0;sss;2630000.0;xxx;f;301
19;iii;aaa;128.0;rrr;1.0;zzz;1280000.0;jjj;f;302
40;iii;www;216.0;iii;0.0;eee;2160000.0;xxx;;303
46;iii;www;454.0;iii;50.0;sss;4540000.0;xxx;f;304
8;iii;aaa;280.0;rrr;0.0;hh;2800000.0;hh;f;305
144;iii;aaa;200.0;rrr;70.0;mmm;2000000.0;xxx;;306
171;iii;www;220.0;iii;251.0;sss;2200000.0;jjj;;307
174;iii;www;130.0;iii;1.0;hh;1300000.0;hh;;308
116;iii;aaa;112.0;rrr;0.0;eee;1120000.0;jjj;f;309
17;iii;aaa;280.0;rrr;0.0;mmm;2800000.0;xxx;;310
96;iii;www;80.0;iii;0.0;hh;800000.0;hh;f;311
163;iii;www;17.0;iii;1.0;hh;170000.0;hh;;312
114;iii;www;260.0;iii;0.0;yyy;2600000.0;xxx;f;313
93;iii;www;520.0;iii;196.0;zzz;5200000.0;xxx;t;314
12;iii;aaa;260.0;rrr;1065.0;yyy;2600000.0;xxx;;315
43;iii;www;320.0;iii;0.0;ee;3200000.0;jjj;t;316
123;iii;www;0.0;iii;1400.0;hh;0.0;hh;;317
1;rrr;;;;0.0;;;;;318
12;iii;www;0.0;iii;582.0;sss;0.0;xxx;;319
101;iii;www;121.0;iii;0.0;zzz;1210000.0;xxx;;320
147;iii;www;280.0;iii;0.0;sss;2800000.0;xxx;;321
175;iii;www;303.0;iii;3290.0;zzz;3030000.0;xxx;t;322
120;iii;www;0.0;iii;0.0;mmm;0.0;jjj;;323
177;iii;www;375.0;iii;51100.0;ggg;3750000.0;ff;t;324
91;iii;www;0.0;iii;1249.0;kkk;0.0;ff;;325
179;iii;www;88.0;iii;591.0;ee;880000.0;xxx;;326
40;uuu;www;280.0;iii;0.0;yyy;2800000.0;xxx;f;327
112;iii;www;200.0;iii;0.0;ooo;2000000.0;xxx;;328
138;iii;www;0.0;iii;6700.0;kkk;0.0;ff;;329
110;uuu;www;110.0;iii;0.0;ooo;1100000.0;xxx;f;330
147;iii;www;340.0;iii;4071.0;zzz;3400000.0;xxx;;331
62;iii;www;129.0;iii;3257.0;sss;1290000.0;xxx;t;332
87;iii;www;100.0;iii;0.0;ee;1000000.0;xxx;;333
148;iii;aaa;380.0;rrr;2732.0;mmm;3800000.0;xxx;;334
5;iii;www;0.0;iii;5298.0;zzz;0.0;jjj;f;335
137;iii;www;0.0;iii;1000.0;zzz;0.0;jjj;t;336
83;iii;www;40.0;iii;28.0;eee;400000.0;xxx;;337
114;iii;www;140.0;iii;258.0;ee;1400000.0;xxx;;338
98;iii;www;100.0;iii;0.0;sss;1000000.0;jjj;;339
136;iii;www;0.0;iii;5000.0;eee;0.0;xxx;t;340
143;iii;aaa;0.0;rrr;15.0;eee;0.0;xxx;t;341
114;iii;www;120.0;iii;567.0;ee;1200000.0;xxx;;342
164;iii;www;0.0;iii;678.0;sss;0.0;jjj;;343
163;iii;www;70.0;iii;0.0;yyy;700000.0;xxx;f;344
145;iii;www;380.0;iii;0.0;sss;3800000.0;xxx;;345
68;iii;www;443.0;iii;0.0;ee;4430000.0;xxx;f;346
12;iii;www;0.0;iii;350.0;fff;0.0;xxx;f;347
17;iii;aaa;164.0;rrr;400.0;eee;1640000.0;ff;f;348
171;iii;aaa;132.0;rrr;2.0;ttt;1320000.0;ppp;f;349
164;iii;aaa;260.0;rrr;0.0;ggg;2600000.0;ff;f;350
159;iii;aaa;0.0;rrr;0.0;ooo;0.0;xxx;;351
8;iii;www;352.0;iii;112.0;ooo;3520000.0;xxx;t;352
123;iii;aaa;160.0;rrr;1.0;hh;1600000.0;hh;t;353
164;iii;aaa;130.0;rrr;0.0;ooo;1300000.0;xxx;;354
119;iii;aaa;200.0;rrr;1.0;hh;2000000.0;hh;;355
174;iii;www;220.0;iii;5.0;kkk;2200000.0;jjj;;356
169;iii;www;225.0;iii;500.0;eee;2250000.0;xxx;;357
175;iii;www;200.0;iii;11.0;sss;2000000.0;xxx;;358
173;iii;www;0.0;iii;0.0;eee;0.0;xxx;f;359
8;iii;www;0.0;iii;0.0;eee;0.0;xxx;;360
176;iii;www;254.0;iii;1950.0;ooo;2540000.0;xxx;t;361
165;iii;www;380.0;iii;2010.0;mmm;3800000.0;xxx;;362
152;iii;www;320.0;iii;1300.0;ggg;3200000.0;ff;t;363
1;uuu;www;0.0;iii;0.0;mmm;0.0;xxx;t;364
1;iii;aaa;45.0;rrr;1.0;hh;450000.0;hh;;365
27;iii;www;460.0;iii;16.0;eee;4600000.0;xxx;;366
2;iii;aaa;132.0;rrr;28.0;kkk;1320000.0;ff;t;367
158;iii;aaa;75.0;rrr;0.0;kkk;750000.0;jjj;t;368
68;iii;www;0.0;iii;228.0;eee;0.0;xxx;;369
8;iii;aaa;140.0;rrr;210.0;eee;1400000.0;jjj;;370
5;iii;www;200.0;iii;0.0;sss;2000000.0;xxx;;371
124;iii;www;0.0;iii;286.0;fff;0.0;xxx;;372
2;iii;www;240.0;iii;237.0;ee;2400000.0;xxx;f;373
80;iii;www;0.0;iii;351.0;eee;0.0;xxx;;374
155;iii;www;0.0;iii;200.0;kkk;0.0;ff;f;375
150;uuu;www;420.0;iii;0.0;kkk;4200000.0;ff;;376
4;iii;www;108.0;iii;7.0;sss;1080000.0;xxx;;377
106;iii;aaa;0.0;rrr;4000.0;ooo;0.0;xxx;f;378
17;iii;www;300.0;iii;2.0;mmm;3000000.0;xxx;;379
160;iii;www;100.0;iii;0.0;mmm;1000000.0;hh;f;380
148;iii;www;280.0;iii;750.0;ee;2800000.0;xxx;f;381
160;iii;www;272.0;iii;444.0;yyy;2720000.0;xxx;t;382
119;iii;www;0.0;iii;5000.0;sss;0.0;jjj;;383
122;iii;www;487.0;iii;500.0;yyy;4870000.0;xxx;;384
149;iii;www;280.0;iii;0.0;mmm;2800000.0;xxx;f;385
11;iii;www;120.0;iii;2079.0;yyy;1200000.0;xxx;;386
60;iii;www;408.0;iii;1000.0;sss;4080000.0;jjj;t;387
80;iii;www;181.0;iii;1655.0;eee;1810000.0;jjj;t;388
53;iii;aaa;80.0;rrr;300.0;yyy;800000.0;xxx;;389
76;iii;www;0.0;iii;790.0;yyy;0.0;jjj;;390
65;iii;www;399.0;iii;0.0;ee;3990000.0;jjj;t;391
28;iii;aaa;370.0;rrr;0.0;ee;3700000.0;xxx;;392
158;iii;www;160.0;iii;0.0;eee;1600000.0;ff;;393
110;iii;www;220.0;iii;19.0;eee;2200000.0;xxx;;394
1;uuu;aaa;500.0;rrr;1.0;ooo;5000000.0;ff;;395
144;iii;www;240.0;iii;768.0;sss;2400000.0;xxx;t;396
